Results;3P/1P Selection Box;3P/1P Selection Box;3P/1P Selection Box;3P/1P Selection Box;3P/1P Selection Box 1;3P/1P Selection Box 1;3P/1P Selection Box 1;3P/1P Selection Box 1;D Connection Point No. 1;D Connection Point No. 1;D Connection Point No. 1;D Connection Point No. 1;D Connection Point No. 2;D Connection Point No. 2;D Connection Point No. 2;D Connection Point No. 2;GM Substation A HV;GM Substation A HV;GM Substation A HV;GM Substation A HV;GM Substation A LV;GM Substation A LV;GM Substation A LV;GM Substation A LV;LB 2 connection point;LB 2 connection point;LB 2 connection point;LB 2 connection point;LB 7 8 connection point;LB 7 8 connection point;LB 7 8 connection point;LB 7 8 connection point;LV Feeder Pillar NO.1;LV Feeder Pillar NO.1;LV Feeder Pillar NO.1;LV Feeder Pillar NO.1;LV Feeder Pillar NO.2;LV Feeder Pillar NO.2;LV Feeder Pillar NO.2;LV Feeder Pillar NO.2;Mock Impedance Unit D;Mock Impedance Unit D;Mock Impedance Unit D;Mock Impedance Unit D;Mock Impedance Unit F;Mock Impedance Unit F;Mock Impedance Unit F;Mock Impedance Unit F;Test Bay B1;Test Bay B1;Test Bay B1;Test Bay B1;Test Bay F1;Test Bay F1;Test Bay F1;Test Bay F1;Test Bay F2;Test Bay F2;Test Bay F2;Test Bay F2
"Index";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"U, Angle in deg";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar"
0,000000;1,031052;30,000250;0,265611;0,026905;1,030839;29,996623;0,265508;0,008070;1,030893;29,997449;0,265534;0,012778;1,030999;29,999263;0,265585;0,022195;1,000000;0,000000;0,057531;0,044871;1,030962;30,000711;0,236349;0,044876;1,030746;29,995330;0,265449;0,000000;1,031065;30,001071;0,650975;0,035231;1,030808;29,996174;0,265488;0,005380;1,031088;30,000937;0,265632;0,030045;1,030946;29,998329;0,265559;0,017486;1,031051;30,001007;0,236392;0,036577;1,030772;29,995673;0,265467;0,002241;1,031123;30,001649;0,916676;0,033220;1,031032;30,000929;0,236376;0,038372
