Quasi-Dynamische Simulation AC;Quasi-Dynamische Simulation AC;Quasi-Dynamische Simulation AC;DeMaDs;DeMaDs;DeMaDs;DeMaDs;GM Substation A HV;GM Substation A HV;GM Substation A HV;External grid;GM Substation A LV;GM Substation A LV;GM Substation A LV;Substation A;Test Bay F2;Test Bay F2;Test Bay F2;LV-001;Mock Impedance Unit F;Mock Impedance Unit F;Mock Impedance Unit F;LV-002;LB 7 8 connection point;LB 7 8 connection point;LB 7 8 connection point;LV-003;Test Bay F1;Test Bay F1;Test Bay F1;LV-004;LV-005;LV Feeder Pillar NO.2;LV Feeder Pillar NO.2;LV Feeder Pillar NO.2;3P/1P Selection Box;3P/1P Selection Box;3P/1P Selection Box;LV-014;D Connection Point No. 2;D Connection Point No. 2;D Connection Point No. 2;LV-023;Mock Impedance Unit D;Mock Impedance Unit D;Mock Impedance Unit D;LV-022;D Connection Point No. 1;D Connection Point No. 1;D Connection Point No. 1;LV-021;3P/1P Selection Box 1;3P/1P Selection Box 1;3P/1P Selection Box 1;LV-020;LV Feeder Pillar NO.1;LV Feeder Pillar NO.1;LV Feeder Pillar NO.1;LV-034;Test Bay B1;Test Bay B1;Test Bay B1;LV-028;LB 2 connection point;LB 2 connection point;LB 2 connection point;LV-027;PV A;PV A;PV A;Gesamtnetz;Gesamtnetz;Gesamtnetz;Gesamtnetz
"Time in s";"Number";"Load flow calculation failed.";"umin in p.u.";"umax in p.u.";"Max. Loading in %";"Loads, P in kW";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Active Power in kW";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"Active Power in kW";"Reactive Power in kvar";"Total Nominal Active power in kW";"umin in p.u.";"umax in p.u.";"Max. Loading in %";"Loads, P in kW"
2016.06.01 12.45.00;19,000000;0,000000;1,000000;1,031213;15,965325;2,946378;1,000000;0,066497;0,299107;0,066508;1,030907;0,227370;0,299089;0,125239;1,030951;0,227421;0,305586;0,253957;1,030964;0,227443;0,307379;0,254923;1,030973;2,815695;0,308890;0,255650;1,031213;3,174479;0,343912;1,888332;0,239928;1,031165;0,358413;0,030023;1,031117;0,358384;0,026885;0,239737;1,031045;0,358347;0,022177;0,239563;1,030973;0,358310;0,017471;0,239341;1,030900;0,358273;0,012765;0,239159;1,030828;0,358236;0,008059;0,239019;1,030786;0,358209;0,005371;0,238920;1,030737;0,358181;0,002235;0,238879;1,030703;0,358146;0,000000;0,238849;3,174490;-0,343912;20,000000;1,000000;1,031213;15,965325;2,946378
2016.06.01 13.00.00;20,000000;0,000000;1,000000;1,031656;15,620656;1,954456;1,000000;0,862973;0,225609;-0,862973;1,030949;1,156893;0,225440;0,392886;1,031260;1,157285;0,231860;0,786644;1,031346;1,157402;0,233631;0,786887;1,031410;2,871781;0,235135;0,787073;1,031656;3,112409;0,270244;1,920003;0,161610;1,031625;0,240264;0,030108;1,031593;0,240245;0,026965;0,161329;1,031545;0,240222;0,022250;0,161074;1,031497;0,240199;0,017535;0,160746;1,031449;0,240175;0,012821;0,160478;1,031400;0,240152;0,008107;0,160272;1,031372;0,240134;0,005414;0,160128;1,031340;0,240115;0,002272;0,160070;1,031316;0,240168;0,000028;0,160028;3,112421;-0,270244;20,000000;1,000000;1,031656;15,620656;1,954456
2016.06.01 13.15.00;21,000000;0,000000;1,000000;1,031608;14,721310;1,972062;1,000000;0,676851;0,044505;-0,676851;1,030986;0,970770;0,044613;0,323921;1,031262;0,971040;0,038164;0,647869;1,031339;0,971123;0,036385;0,647692;1,031396;2,416564;0,035050;0,647654;1,031608;2,944250;0,033145;1,610575;0,351933;1,031537;0,527131;0,029999;1,031466;0,527082;0,026863;0,351800;1,031360;0,527015;0,022160;0,351679;1,031253;0,526949;0,017458;0,351525;1,031146;0,526882;0,012756;0,351400;1,031039;0,526815;0,008056;0,351302;1,030978;0,526772;0,005370;0,351232;1,030906;0,526724;0,002237;0,351201;1,030855;0,526686;0,000000;0,351178;2,944262;0,000009;20,000000;1,000000;1,031608;14,721310;1,972062
2016.06.01 13.30.00;22,000000;0,000000;1,000000;1,031641;13,880149;1,738979;1,000000;0,741945;0,044548;-0,741945;1,030988;1,035868;0,044674;0,345598;1,031283;1,036173;0,038234;0,691225;1,031364;1,036266;0,036456;0,691059;1,031425;2,459307;0,035123;0,691024;1,031641;2,776018;0,033224;1,639009;0,211817;1,031599;0,316162;0,030082;1,031557;0,316137;0,026940;0,211600;1,031493;0,316106;0,022227;0,211404;1,031430;0,316074;0,017515;0,211153;1,031366;0,316043;0,012804;0,210948;1,031302;0,316011;0,008093;0,210790;1,031265;0,315988;0,005401;0,210678;1,031222;0,315963;0,002261;0,210632;1,031192;0,316011;0,000018;0,210599;2,776030;-0,000003;20,000000;1,000000;1,031641;13,880149;1,738979
2016.06.01 13.45.00;23,000000;0,000000;1,000000;1,031668;13,039065;1,479844;1,000000;0,832792;0,044511;-0,832792;1,030991;1,126721;0,044662;0,375855;1,031311;1,127080;0,038234;0,751739;1,031400;1,127188;0,036461;0,751587;1,031466;2,303744;0,035130;0,751555;1,031668;2,607801;0,033211;1,535289;0,203476;1,031628;0,303582;0,030069;1,031587;0,303558;0,026926;0,203251;1,031527;0,303528;0,022213;0,203047;1,031466;0,303498;0,017500;0,202786;1,031404;0,303468;0,012788;0,202573;1,031343;0,303438;0,008076;0,202409;1,031308;0,303416;0,005384;0,202293;1,031267;0,303392;0,002243;0,202245;1,031237;0,303372;0,000000;0,202211;2,607813;-0,000003;20,000000;1,000000;1,031668;13,039065;1,479844
2016.06.01 14.00.00;24,000000;0,000000;1,000000;1,031277;12,198318;2,110638;1,000000;0,034537;0,044876;-0,034537;1,030965;0,328430;0,044885;0,110493;1,031061;0,328472;0,038384;0,221000;1,031087;0,328491;0,036591;0,220462;1,031107;1,941957;0,035245;0,220334;1,031277;2,439652;0,033213;1,294601;0,332318;1,031211;0,497470;0,030043;1,031144;0,497426;0,026908;0,332178;1,031043;0,497365;0,022206;0,332050;1,030943;0,497304;0,017505;0,331888;1,030842;0,497244;0,012805;0,331754;1,030741;0,497183;0,008106;0,331651;1,030683;0,497143;0,005421;0,331577;1,030615;0,497099;0,002289;0,331545;1,030567;0,497190;0,000052;0,331521;2,439664;0,000034;20,000000;1,000000;1,031277;12,198318;2,110638
2016.06.01 14.15.00;25,000000;0,000000;1,000000;1,031304;12,113623;1,993512;1,000000;0,134227;0,044639;-0,134227;1,030968;0,428122;0,044655;0,143479;1,031092;0,428184;0,038159;0,286975;1,031126;0,428210;0,036366;0,286565;1,031151;1,739160;0,035022;0,286469;1,031304;2,422713;0,033055;1,159484;0,455922;1,031212;0,683224;0,029926;1,031120;0,683151;0,026798;0,455818;1,030982;0,683047;0,022106;0,455723;1,030843;0,682942;0,017416;0,455603;1,030705;0,682838;0,012728;0,455504;1,030566;0,682734;0,008040;0,455427;1,030486;0,682670;0,005362;0,455372;1,030393;0,682596;0,002238;0,455346;1,030327;0,682584;0,000007;0,455327;2,422725;-0,000000;20,000000;1,000000;1,031304;12,113623;1,993512
2016.06.01 14.30.00;26,000000;0,000000;1,000000;1,031357;12,029208;1,907335;1,000000;0,203873;0,044731;-0,203873;1,030971;0,497770;0,044754;0,166589;1,031114;0,497849;0,038261;0,333197;1,031153;0,497880;0,036470;0,332844;1,031183;1,988106;0,035126;0,332762;1,031357;2,405830;0,033188;1,325365;0,279024;1,031302;0,417337;0,030050;1,031246;0,417302;0,026912;0,278858;1,031162;0,417255;0,022206;0,278708;1,031078;0,417209;0,017500;0,278516;1,030993;0,417163;0,012795;0,278358;1,030908;0,417117;0,008091;0,278237;1,030860;0,417085;0,005404;0,278150;1,030803;0,417051;0,002268;0,278113;1,030763;0,417135;0,000029;0,278086;2,405842;-0,000000;20,000000;1,000000;1,031357;12,029208;1,907335
2016.06.01 14.45.00;27,000000;0,000000;1,000000;1,031647;11,944776;1,254506;1,000000;0,839492;0,044614;-0,839492;1,030991;1,133421;0,044768;0,378087;1,031313;1,133784;0,038341;0,756205;1,031402;1,133893;0,036568;0,756054;1,031469;2,030338;0,035237;0,756022;1,031647;2,388944;0,033206;1,353021;0,239808;1,031599;0,358381;0,030064;1,031552;0,358352;0,026923;0,239616;1,031480;0,358315;0,022212;0,239442;1,031408;0,358277;0,017501;0,239220;1,031335;0,358240;0,012791;0,239038;1,031262;0,358203;0,008082;0,238897;1,031221;0,358177;0,005391;0,238798;1,031172;0,358148;0,002252;0,238757;1,031137;0,358146;0,000011;0,238726;2,388955;-0,000003;20,000000;1,000000;1,031647;11,944776;1,254506
2016.06.01 15.00.00;28,000000;0,000000;1,000000;1,031838;11,860373;0,814657;1,000000;1,261881;0,044314;-1,261881;1,031005;1,555846;0,044624;0,518802;1,031446;1,556520;0,038269;1,037643;1,031568;1,556714;0,036515;1,037535;1,031659;2,038655;0,035199;1,037514;1,031838;2,372063;0,033218;1,358371;0,222996;1,031794;0,333093;0,030074;1,031749;0,333067;0,026931;0,222790;1,031683;0,333033;0,022217;0,222604;1,031616;0,332999;0,017504;0,222365;1,031548;0,332966;0,012791;0,222170;1,031481;0,332932;0,008079;0,222019;1,031442;0,332908;0,005387;0,221913;1,031397;0,332882;0,002246;0,221869;1,031365;0,332865;0,000003;0,221837;2,372075;-0,000002;20,000000;1,000000;1,031838;11,860373;0,814657
2016.06.01 15.15.00;29,000000;0,000000;1,000000;1,031868;11,056364;0,570750;1,000000;1,344896;0,044238;-1,344896;1,031007;1,638869;0,044585;0,546463;1,031472;1,639616;0,038247;1,092965;1,031600;1,639830;0,036498;1,092863;1,031696;1,953722;0,035185;1,092844;1,031868;2,211261;0,033238;1,301795;0,172751;1,031834;0,257189;0,030093;1,031800;0,257169;0,026949;0,172487;1,031749;0,257144;0,022232;0,172248;1,031697;0,257119;0,017516;0,171941;1,031645;0,257094;0,012800;0,171691;1,031593;0,257069;0,008085;0,171498;1,031564;0,257050;0,005391;0,171363;1,031529;0,257030;0,002248;0,171308;1,031504;0,257022;0,000003;0,171269;2,211273;-0,000003;20,000000;1,000000;1,031868;11,056364;0,570750
2016.06.01 15.30.00;30,000000;0,000000;1,000000;1,031820;10,252425;0,482552;1,000000;1,272435;0,044297;-1,272435;1,031005;1,566400;0,044612;0,522318;1,031449;1,567084;0,038259;1,044675;1,031572;1,567280;0,036506;1,044569;1,031664;1,780319;0,035190;1,044548;1,031820;2,050473;0,033233;1,186337;0,181125;1,031785;0,269849;0,030085;1,031749;0,269828;0,026941;0,180873;1,031695;0,269801;0,022225;0,180645;1,031641;0,269775;0,017510;0,180352;1,031586;0,269749;0,012795;0,180114;1,031532;0,269723;0,008081;0,179930;1,031501;0,269703;0,005387;0,179800;1,031464;0,269682;0,002245;0,179748;1,031438;0,269664;0,000000;0,179710;2,050485;0,000003;20,000000;1,000000;1,031820;10,252425;0,482552
2016.06.01 15.45.00;31,000000;0,000000;1,000000;1,031701;9,448444;0,549868;1,000000;1,044651;0,044460;-1,044651;1,030998;1,338596;0,044683;0,446428;1,031378;1,339098;0,038288;0,892889;1,031483;1,339245;0,036523;0,892763;1,031561;1,585855;0,035199;0,892737;1,031701;1,889677;0,033225;1,056909;0,203467;1,031660;0,303577;0,030073;1,031620;0,303553;0,026930;0,203242;1,031559;0,303523;0,022216;0,203038;1,031498;0,303493;0,017503;0,202776;1,031437;0,303463;0,012791;0,202563;1,031376;0,303433;0,008079;0,202399;1,031340;0,303411;0,005386;0,202283;1,031299;0,303387;0,002246;0,202236;1,031270;0,303372;0,000002;0,202201;1,889689;0,000010;20,000000;1,000000;1,031701;9,448444;0,549868
2016.06.01 16.00.00;32,000000;0,000000;1,000000;1,031619;8,644414;0,534545;1,000000;0,899343;0,044535;-0,899343;1,030993;1,193276;0,044708;0,398022;1,031332;1,193678;0,038290;0,796075;1,031426;1,193797;0,036518;0,795932;1,031496;1,395569;0,035190;0,795903;1,031619;1,728871;0,033208;0,930222;0,223044;1,031574;0,333095;0,030060;1,031530;0,333069;0,026918;0,222838;1,031463;0,333035;0,022207;0,222652;1,031396;0,333001;0,017495;0,222413;1,031329;0,332968;0,012785;0,222218;1,031261;0,332934;0,008074;0,222068;1,031223;0,332910;0,005383;0,221961;1,031178;0,332884;0,002244;0,221917;1,031145;0,332865;0,000001;0,221885;1,728883;0,000006;20,000000;1,000000;1,031619;8,644414;0,534545
2016.06.01 16.15.00;33,000000;0,000000;1,000000;1,031567;7,711660;0,443290;1,000000;0,804235;0,044604;-0,804235;1,030990;1,098162;0,044748;0,366344;1,031302;1,098504;0,038316;0,732718;1,031389;1,098607;0,036541;0,732562;1,031453;1,289167;0,035209;0,732529;1,031567;1,542320;0,033221;0,859381;0,170018;1,031533;0,252980;0,030073;1,031500;0,252960;0,026930;0,169750;1,031449;0,252935;0,022216;0,169508;1,031399;0,252911;0,017503;0,169196;1,031348;0,252886;0,012790;0,168942;1,031296;0,252862;0,008078;0,168747;1,031267;0,252843;0,005385;0,168609;1,031233;0,252823;0,002244;0,168554;1,031208;0,252810;0,000000;0,168514;1,542332;0,000005;20,000000;1,000000;1,031567;7,711660;0,443290
2016.06.01 16.30.00;34,000000;0,000000;1,000000;1,031428;6,779001;0,521814;1,000000;0,539428;0,044727;-0,539428;1,030981;0,833339;0,044803;0,278173;1,031219;0,833541;0,038339;0,556370;1,031285;0,833606;0,036555;0,556162;1,031334;1,068953;0,035217;0,556116;1,031428;1,355788;0,033216;0,712783;0,192349;1,031390;0,286710;0,030061;1,031352;0,286687;0,026919;0,192112;1,031295;0,286659;0,022208;0,191897;1,031237;0,286631;0,017497;0,191621;1,031179;0,286603;0,012786;0,191396;1,031121;0,286575;0,008076;0,191222;1,031088;0,286554;0,005385;0,191100;1,031049;0,286531;0,002245;0,191050;1,031021;0,286518;0,000003;0,191014;1,355800;0,000013;20,000000;1,000000;1,031428;6,779001;0,521814
2016.06.01 16.45.00;35,000000;0,000000;1,000000;1,031354;5,846205;0,469910;1,000000;0,404898;0,044766;-0,404898;1,030977;0,698803;0,044816;0,233407;1,031177;0,698949;0,038339;0,466836;1,031232;0,698997;0,036552;0,466586;1,031273;0,911925;0,035211;0,466530;1,031354;1,169229;0,033208;0,608240;0,172841;1,031320;0,257200;0,030059;1,031286;0,257180;0,026918;0,172578;1,031234;0,257155;0,022206;0,172339;1,031183;0,257130;0,017494;0,172033;1,031131;0,257105;0,012784;0,171783;1,031079;0,257080;0,008073;0,171591;1,031049;0,257061;0,005382;0,171455;1,031014;0,257041;0,002242;0,171401;1,030989;0,257022;0,000000;0,171362;1,169241;0,000007;20,000000;1,000000;1,031354;5,846205;0,469910
2016.06.01 17.00.00;36,000000;0,000000;1,000000;1,031155;4,913580;0,666320;1,000000;0,022126;0,044847;-0,022126;1,030965;0,316018;0,044855;0,106394;1,031057;0,316058;0,038354;0,212802;1,031082;0,316077;0,036560;0,212243;1,031101;0,607414;0,035215;0,212110;1,031155;0,982704;0,033194;0,405575;0,251107;1,031105;0,375230;0,030037;1,031055;0,375199;0,026899;0,250923;1,030979;0,375159;0,022193;0,250757;1,030904;0,375120;0,017488;0,250544;1,030828;0,375080;0,012783;0,250371;1,030752;0,375041;0,008079;0,250236;1,030708;0,375013;0,005391;0,250141;1,030657;0,374983;0,002256;0,250101;1,030621;0,375000;0,000017;0,250072;0,982716;0,000019;20,000000;1,000000;1,031155;4,913580;0,666320
2016.06.01 17.15.00;37,000000;0,000000;1,000000;1,030975;3,685272;0,764471;1,000000;0,321694;0,044823;0,321705;1,030954;0,027804;0,044832;0,103112;1,030949;0,027791;0,038325;0,035170;1,030947;0,027780;0,036530;0,031562;1,030946;0,347336;0,035183;0,030596;1,030975;0,737043;0,033161;0,214334;0,279194;1,030919;0,417439;0,030003;1,030863;0,417404;0,026867;0,279028;1,030779;0,417358;0,022164;0,278878;1,030695;0,417312;0,017462;0,278686;1,030610;0,417266;0,012761;0,278529;1,030526;0,417219;0,008061;0,278408;1,030477;0,417188;0,005375;0,278322;1,030420;0,417153;0,002242;0,278285;1,030380;0,417135;0,000004;0,278258;0,737054;0,000022;20,000000;1,000000;1,030975;3,685272;0,764471
2016.06.01 17.30.00;38,000000;0,000000;1,000000;1,030956;2,456727;0,540007;1,000000;0,342799;0,044834;0,342810;1,030953;0,048909;0,044843;0,109752;1,030942;0,048896;0,038336;0,044238;1,030939;0,048884;0,036541;0,041424;1,030937;0,257704;0,035195;0,040690;1,030956;0,491334;0,033177;0,141192;0,189631;1,030918;0,282475;0,030036;1,030881;0,282452;0,026898;0,189390;1,030824;0,282425;0,022190;0,189172;1,030767;0,282397;0,017483;0,188893;1,030711;0,282370;0,012777;0,188665;1,030653;0,282342;0,008071;0,188489;1,030621;0,282321;0,005382;0,188365;1,030582;0,282299;0,002245;0,188315;1,030555;0,282303;0,000005;0,188279;0,491345;0,000002;20,000000;1,000000;1,030956;2,456727;0,540007
2016.06.01 17.45.00;39,000000;0,000000;1,000000;1,030947;1,228468;0,479487;1,000000;0,527895;0,044833;0,527906;1,030947;0,234004;0,044859;0,168189;1,030884;0,233977;0,038356;0,158849;1,030867;0,233961;0,036562;0,158081;1,030853;0,302520;0,035216;0,157885;1,030860;0,245682;0,033195;0,051396;0,120143;1,030837;0,177095;0,030044;1,030814;0,177079;0,026904;0,119767;1,030779;0,177061;0,022195;0,119427;1,030744;0,177043;0,017486;0,118988;1,030708;0,177025;0,012777;0,118630;1,030672;0,177007;0,008069;0,118355;1,030652;0,176992;0,005379;0,118163;1,030628;0,176976;0,002240;0,118087;1,030611;0,176967;0,000000;0,118034;0,245694;0,000012;20,000000;1,000000;1,030947;1,228468;0,479487
2016.06.01 18.00.00;40,000000;0,000000;1,000000;1,030923;0,661095;0,990090;1,000000;1,284491;0,044622;1,284502;1,030923;0,990571;0,044826;0,408021;1,030646;0,990290;0,038384;0,661095;1,030570;0,990204;0,036607;0,660905;1,030513;0,990211;0,035275;0,660852;1,030473;0,463573;0,033220;0,310101;0,310054;1,030411;0,463625;0,030039;1,030348;0,463585;0,026908;0,309903;1,030255;0,463531;0,022212;0,309767;1,030161;0,463476;0,017516;0,309593;1,030067;0,463422;0,012822;0,309451;1,029973;0,463368;0,008128;0,309341;1,029919;0,463332;0,005447;0,309262;1,029856;0,463291;0,002318;0,309228;1,029811;0,463482;0,000084;0,309203;0,000092;0,000049;20,000000;1,000000;1,030923;0,661095;0,990090
2016.06.01 18.15.00;41,000000;0,000000;1,000000;1,030930;0,520768;0,779418;1,000000;1,073736;0,044647;1,073747;1,030930;0,779827;0,044783;0,341163;1,030713;0,779649;0,038317;0,520768;1,030653;0,779591;0,036534;0,520530;1,030608;0,779545;0,035196;0,520464;1,030586;0,252920;0,033180;0,170311;0,170123;1,030553;0,252899;0,030043;1,030519;0,252879;0,026906;0,169856;1,030469;0,252855;0,022201;0,169614;1,030418;0,252830;0,017496;0,169303;1,030367;0,252806;0,012792;0,169049;1,030316;0,252782;0,008089;0,168854;1,030287;0,252763;0,005401;0,168716;1,030252;0,252742;0,002266;0,168661;1,030228;0,252810;0,000027;0,168621;-0,000000;-0,000000;20,000000;1,000000;1,030930;0,520768;0,779418
2016.06.01 18.30.00;42,000000;0,000000;1,000000;1,030935;0,406209;0,607231;1,000000;0,901539;0,044695;0,901550;1,030935;0,607638;0,044786;0,286554;1,030767;0,607525;0,038304;0,406209;1,030720;0,607485;0,036516;0,405906;1,030685;0,607468;0,035176;0,405824;1,030661;0,282521;0,033150;0,189868;0,189699;1,030624;0,282499;0,030013;1,030586;0,282476;0,026876;0,189458;1,030530;0,282449;0,022172;0,189241;1,030473;0,282421;0,017467;0,188961;1,030416;0,282394;0,012764;0,188734;1,030359;0,282366;0,008060;0,188558;1,030326;0,282345;0,005373;0,188435;1,030288;0,282323;0,002238;0,188384;1,030260;0,282303;0,000000;0,188348;0,000000;0,000000;20,000000;1,000000;1,030935;0,406209;0,607231
2016.06.01 18.45.00;43,000000;0,000000;1,000000;1,030939;0,335413;0,500745;1,000000;0,794997;0,044732;0,795008;1,030939;0,501099;0,044801;0,252779;1,030800;0,501018;0,038311;0,335413;1,030762;0,500988;0,036521;0,335047;1,030733;0,500966;0,035178;0,334950;1,030711;0,265652;0,033159;0,178702;0,178523;1,030675;0,265631;0,030021;1,030640;0,265610;0,026884;0,178268;1,030587;0,265584;0,022178;0,178037;1,030534;0,265558;0,017473;0,177740;1,030480;0,265532;0,012768;0,177499;1,030426;0,265507;0,008064;0,177313;1,030396;0,265487;0,005376;0,177182;1,030360;0,265466;0,002240;0,177129;1,030334;0,265449;0,000001;0,177091;0,000000;0,000000;20,000000;1,000000;1,030939;0,335413;0,500745
2016.06.01 19.00.00;44,000000;0,000000;1,000000;1,030934;0,433226;0,647835;1,000000;0,942167;0,044678;0,942178;1,030934;0,648264;0,044779;0,299437;1,030754;0,648137;0,038300;0,433226;1,030704;0,648093;0,036513;0,432941;1,030667;0,648066;0,035173;0,432864;1,030643;0,278304;0,033152;0,187081;0,186909;1,030606;0,278282;0,030015;1,030569;0,278260;0,026878;0,186665;1,030514;0,278233;0,022173;0,186445;1,030458;0,278205;0,017469;0,186161;1,030402;0,278178;0,012765;0,185930;1,030345;0,278151;0,008062;0,185752;1,030313;0,278131;0,005375;0,185627;1,030275;0,278109;0,002240;0,185576;1,030248;0,278091;0,000001;0,185539;-0,000000;0,000000;20,000000;1,000000;1,030934;0,433226;0,647835
2016.06.01 19.15.00;45,000000;0,000000;1,000000;1,030938;0,352139;0,525926;1,000000;0,820181;0,044727;0,820192;1,030938;0,526282;0,044800;0,260762;1,030792;0,526194;0,038312;0,352139;1,030752;0,526162;0,036523;0,351790;1,030722;0,526140;0,035180;0,351697;1,030700;0,257218;0,033160;0,173130;0,172945;1,030666;0,257198;0,030023;1,030632;0,257177;0,026885;0,172682;1,030580;0,257152;0,022179;0,172444;1,030529;0,257127;0,017474;0,172138;1,030477;0,257103;0,012769;0,171889;1,030425;0,257078;0,008064;0,171697;1,030395;0,257059;0,005376;0,171562;1,030360;0,257038;0,002241;0,171508;1,030335;0,257022;0,000001;0,171469;0,000000;0,000000;20,000000;1,000000;1,030938;0,352139;0,525926
2016.06.01 19.30.00;46,000000;0,000000;1,000000;1,030934;0,442449;0,661724;1,000000;0,956032;0,044681;0,956043;1,030934;0,662129;0,044786;0,303834;1,030750;0,661997;0,038308;0,442449;1,030699;0,661952;0,036522;0,442169;1,030661;0,661925;0,035182;0,442094;1,030641;0,236140;0,033159;0,159224;0,159024;1,030609;0,236121;0,030022;1,030578;0,236102;0,026884;0,158739;1,030531;0,236079;0,022178;0,158480;1,030484;0,236056;0,017473;0,158148;1,030436;0,236033;0,012768;0,157878;1,030389;0,236011;0,008063;0,157669;1,030361;0,235993;0,005375;0,157523;1,030329;0,235974;0,002239;0,157464;1,030306;0,235956;0,000000;0,157423;0,000000;0,000000;20,000000;1,000000;1,030934;0,442449;0,661724
2016.06.01 19.45.00;47,000000;0,000000;1,000000;1,030933;0,459375;0,687105;1,000000;0,981478;0,044653;0,981489;1,030933;0,687573;0,044764;0,311903;1,030742;0,687432;0,038289;0,459375;1,030689;0,687385;0,036503;0,459106;1,030649;0,687346;0,035164;0,459033;1,030624;0,295166;0,033147;0,198246;0,198083;1,030585;0,295143;0,030011;1,030546;0,295120;0,026875;0,197853;1,030486;0,295091;0,022171;0,197644;1,030427;0,295062;0,017467;0,197377;1,030368;0,295033;0,012764;0,197158;1,030308;0,295004;0,008062;0,196990;1,030273;0,294982;0,005375;0,196871;1,030233;0,294959;0,002240;0,196823;1,030205;0,294945;0,000002;0,196788;-0,000000;0,000000;20,000000;1,000000;1,030933;0,459375;0,687105
2016.06.01 20.00.00;48,000000;0,000000;1,000000;1,030919;0,743298;1,112848;1,000000;1,407914;0,044344;1,407925;1,030919;1,113986;0,044593;0,447179;1,030608;1,113634;0,038168;0,743298;1,030522;1,113528;0,036396;0,743129;1,030457;1,113434;0,035067;0,743081;1,030389;0,788441;0,033070;0,526459;0,526393;1,030282;0,788347;0,029951;1,030176;0,788253;0,026834;0,526302;1,030016;0,788118;0,022158;0,526218;1,029856;0,787983;0,017485;0,526113;1,029696;0,787848;0,012812;0,526026;1,029535;0,787714;0,008141;0,525958;1,029443;0,787631;0,005473;0,525909;1,029336;0,787538;0,002360;0,525886;1,029259;0,787920;0,000137;0,525867;-0,000000;0,000000;20,000000;1,000000;1,030919;0,743298;1,112848
2016.06.01 20.15.00;49,000000;0,000000;1,000000;1,030924;0,634528;0,949773;1,000000;1,244608;0,044449;1,244619;1,030924;0,950690;0,044639;0,395366;1,030659;0,950431;0,038192;0,634528;1,030586;0,950351;0,036414;0,634331;1,030531;0,950284;0,035081;0,634276;1,030481;0,569292;0,033072;0,380441;0,380353;1,030405;0,569238;0,029944;1,030328;0,569183;0,026816;0,380230;1,030213;0,569107;0,022125;0,380118;1,030098;0,569031;0,017435;0,379975;1,029982;0,568955;0,012747;0,379858;1,029867;0,568879;0,008059;0,379767;1,029800;0,568831;0,005381;0,379702;1,029723;0,568776;0,002257;0,379673;1,029667;0,568821;0,000026;0,379651;-0,000000;0,000000;20,000000;1,000000;1,030924;0,634528;0,949773
2016.06.01 20.30.00;50,000000;0,000000;1,000000;1,030936;0,385582;0,576396;1,000000;0,870505;0,044766;0,870516;1,030936;0,576605;0,044851;0,276716;1,030776;0,576502;0,038366;0,385582;1,030732;0,576465;0,036578;0,385262;1,030699;0,576447;0,035236;0,385176;1,030676;0,273909;0,033212;0,184173;0,183998;1,030640;0,273887;0,030075;1,030603;0,273865;0,026938;0,183750;1,030548;0,273839;0,022233;0,183526;1,030493;0,273812;0,017528;0,183237;1,030438;0,273785;0,012824;0,183002;1,030383;0,273759;0,008120;0,182820;1,030351;0,273739;0,005433;0,182692;1,030314;0,273717;0,002297;0,182640;1,030287;0,273876;0,000058;0,182603;0,000000;0,000000;20,000000;1,000000;1,030936;0,385582;0,576396
