Quasi-Dynamische Simulation AC;Quasi-Dynamische Simulation AC;Quasi-Dynamische Simulation AC;DeMaDs;DeMaDs;DeMaDs;DeMaDs;GM Substation A HV;GM Substation A HV;GM Substation A HV;External grid;GM Substation A LV;GM Substation A LV;GM Substation A LV;Substation A;Test Bay F2;Test Bay F2;Test Bay F2;LV-001;Mock Impedance Unit F;Mock Impedance Unit F;Mock Impedance Unit F;LV-002;LB 7 8 connection point;LB 7 8 connection point;LB 7 8 connection point;LV-003;Test Bay F1;Test Bay F1;Test Bay F1;LV-004;LV-005;LV Feeder Pillar NO.2;LV Feeder Pillar NO.2;LV Feeder Pillar NO.2;3P/1P Selection Box;3P/1P Selection Box;3P/1P Selection Box;LV-014;D Connection Point No. 2;D Connection Point No. 2;D Connection Point No. 2;LV-023;Mock Impedance Unit D;Mock Impedance Unit D;Mock Impedance Unit D;LV-022;D Connection Point No. 1;D Connection Point No. 1;D Connection Point No. 1;LV-021;3P/1P Selection Box 1;3P/1P Selection Box 1;3P/1P Selection Box 1;LV-020;LV Feeder Pillar NO.1;LV Feeder Pillar NO.1;LV Feeder Pillar NO.1;LV-034;Test Bay B1;Test Bay B1;Test Bay B1;LV-028;LB 2 connection point;LB 2 connection point;LB 2 connection point;LV-027;PV A;PV A;PV A;Gesamtnetz;Gesamtnetz;Gesamtnetz;Gesamtnetz
"Time in s";"Number";"Load flow calculation failed.";"umin in p.u.";"umax in p.u.";"Max. Loading in %";"Loads, P in kW";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Active Power in kW";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"Active Power in kW";"Reactive Power in kvar";"Total Nominal Active power in kW";"umin in p.u.";"umax in p.u.";"Max. Loading in %";"Loads, P in kW"
2016.06.01 10.15.00;9,000000;0,000000;1,000000;1,032385;18,265951;0,603119;1,000000;2,680006;0,673746;-2,680006;1,030936;2,974152;0,672439;1,016423;1,031730;2,976708;0,678353;2,033875;1,031949;2,977422;0,679986;2,034149;1,032113;3,269281;0,681211;2,034357;1,032385;3,582272;0,716269;2,224174;0,208920;1,032343;0,312014;0,030109;1,032302;0,311989;0,026962;0,208700;1,032240;0,311958;0,022242;0,208501;1,032177;0,311927;0,017523;0,208246;1,032114;0,311896;0,012805;0,208038;1,032051;0,311865;0,008087;0,207878;1,032015;0,311843;0,005391;0,207765;1,031972;0,311818;0,002246;0,207718;1,031942;0,311799;0,000000;0,207685;3,582284;-0,716269;20,000000;1,000000;1,032385;18,265951;0,603119
2016.06.01 10.30.00;10,000000;0,000000;1,000000;1,032351;18,015642;0,634135;1,000000;2,605374;0,636958;-2,605374;1,030939;2,899506;0,635723;0,989473;1,031715;2,901930;0,641668;1,979944;1,031929;2,902607;0,643310;1,980211;1,032089;3,149614;0,644540;1,980413;1,032351;3,538446;0,679596;2,141240;0,259233;1,032299;0,387912;0,030092;1,032247;0,387881;0,026947;0,259054;1,032170;0,387839;0,022231;0,258893;1,032091;0,387798;0,017515;0,258686;1,032013;0,387756;0,012800;0,258517;1,031934;0,387715;0,008085;0,258387;1,031889;0,387686;0,005392;0,258294;1,031837;0,387654;0,002249;0,258255;1,031799;0,387639;0,000005;0,258227;3,538458;-0,679596;20,000000;1,000000;1,032351;18,015642;0,634135
2016.06.01 10.45.00;11,000000;0,000000;1,000000;1,032210;17,766133;0,859075;1,000000;2,337159;0,599605;-2,337159;1,030937;2,631246;0,598593;0,899505;1,031639;2,633250;0,604636;1,800038;1,031833;2,633812;0,606305;1,800314;1,031978;2,802301;0,607550;1,800523;1,032210;3,494630;0,642570;1,910058;0,461056;1,032117;0,691538;0,030026;1,032024;0,691463;0,026893;0,460953;1,031884;0,691357;0,022194;0,460859;1,031744;0,691251;0,017496;0,460739;1,031604;0,691144;0,012800;0,460641;1,031463;0,691038;0,008104;0,460564;1,031383;0,690972;0,005422;0,460509;1,031289;0,690898;0,002293;0,460484;1,031222;0,691011;0,000058;0,460464;3,494642;-0,642570;20,000000;1,000000;1,032210;17,766133;0,859075
2016.06.01 11.00.00;12,000000;0,000000;1,000000;1,032008;17,517349;1,214356;1,000000;1,938359;0,561784;-1,938359;1,030930;2,232386;0,561061;0,767287;1,031522;2,233848;0,567231;1,535690;1,031685;2,234260;0,568934;1,535992;1,031808;2,425052;0,570214;1,536222;1,032008;3,450811;0,605078;1,659778;0,683157;1,031870;1,025075;0,029850;1,031731;1,024925;0,026736;0,683085;1,031523;1,024705;0,022066;0,683020;1,031315;1,024486;0,017399;0,682937;1,031107;1,024266;0,012733;0,682869;1,030898;1,024047;0,008069;0,682815;1,030779;1,023916;0,005405;0,682775;1,030639;1,023766;0,002298;0,682755;1,030540;1,023876;0,000079;0,682740;3,450823;-0,605078;20,000000;1,000000;1,032008;17,517349;1,214356
2016.06.01 11.15.00;13,000000;0,000000;1,000000;1,032111;17,389640;1,016223;1,000000;2,113970;0,542392;-2,113970;1,030939;2,408023;0,541554;0,822734;1,031582;2,409702;0,547673;1,646480;1,031759;2,410174;0,549362;1,646754;1,031892;2,634619;0,550629;1,646961;1,032111;3,428265;0,585576;1,793067;0,528560;1,032004;0,792924;0,029939;1,031897;0,792829;0,026811;0,528469;1,031737;0,792693;0,022120;0,528386;1,031576;0,792557;0,017431;0,528281;1,031415;0,792421;0,012743;0,528195;1,031254;0,792285;0,008057;0,528127;1,031161;0,792202;0,005380;0,528078;1,031054;0,792108;0,002257;0,528055;1,030977;0,792135;0,000026;0,528038;3,428277;-0,585576;20,000000;1,000000;1,032111;17,389640;1,016223
2016.06.01 11.30.00;14,000000;0,000000;1,000000;1,032281;17,262238;0,717940;1,000000;2,389942;0,522817;-2,389942;1,030951;2,684038;0,521778;0,911430;1,031673;2,686096;0,527809;1,823753;1,031872;2,686672;0,529474;1,823992;1,032021;3,101675;0,530712;1,824174;1,032281;3,405741;0,565901;2,095974;0,203091;1,032241;0,303167;0,030216;1,032201;0,303143;0,027070;0,202865;1,032140;0,303113;0,022351;0,202660;1,032079;0,303083;0,017633;0,202397;1,032018;0,303053;0,012915;0,202182;1,031957;0,303023;0,008197;0,202016;1,031922;0,303001;0,005502;0,201898;1,031881;0,302977;0,002358;0,201850;1,031851;0,303372;0,000112;0,201815;3,405752;-0,565901;20,000000;1,000000;1,032281;17,262238;0,717940
2016.06.01 11.45.00;15,000000;0,000000;1,000000;1,031684;17,135123;2,046869;1,000000;1,041302;0,501316;-1,041302;1,030911;1,335230;0,501056;0,475402;1,031254;1,335799;0,507434;0,952371;1,031348;1,335965;0,509194;0,952804;1,031419;3,151220;0,510998;0,953132;1,031684;3,383235;0,546022;2,127040;0,156108;1,031654;0,231937;0,030061;1,031623;0,231918;0,026917;0,155817;1,031577;0,231896;0,022202;0,155553;1,031531;0,231873;0,017487;0,155215;1,031484;0,231851;0,012772;0,154939;1,031437;0,231829;0,008058;0,154726;1,031410;0,231811;0,005364;0,154577;1,031379;0,231792;0,002222;0,154518;1,031357;0,231741;0,000000;0,154476;3,383247;-0,546022;20,000000;1,000000;1,031684;17,135123;2,046869
2016.06.01 12.00.00;16,000000;0,000000;1,000000;1,031807;17,007959;1,744533;1,000000;1,319996;0,481811;-1,319996;1,030923;1,613949;0,481439;0,561425;1,031346;1,614738;0,487766;1,124137;1,031462;1,614964;0,489512;1,124491;1,031550;3,060513;0,490845;1,124760;1,031807;3,360682;0,525894;2,065470;0,200657;1,031768;0,299366;0,030075;1,031728;0,299342;0,026932;0,200429;1,031668;0,299313;0,022217;0,200223;1,031608;0,299283;0,017503;0,199958;1,031548;0,299254;0,012789;0,199742;1,031487;0,299224;0,008076;0,199575;1,031452;0,299202;0,005383;0,199458;1,031412;0,299179;0,002241;0,199410;1,031383;0,299157;0,000000;0,199375;3,360694;-0,525894;20,000000;1,000000;1,031807;17,007959;1,744533
2016.06.01 12.15.00;17,000000;0,000000;1,000000;1,032183;16,658882;0,877485;1,000000;2,123885;0,425442;-2,123885;1,030958;2,417941;0,424615;0,818310;1,031611;2,419602;0,430738;1,637430;1,031791;2,420069;0,432429;1,637648;1,031926;3,036670;0,433843;1,637814;1,032183;3,298598;0,468941;2,043132;0,175482;1,032148;0,261401;0,030114;1,032114;0,261381;0,026968;0,175222;1,032062;0,261355;0,022249;0,174987;1,032009;0,261330;0,017530;0,174684;1,031957;0,261305;0,012812;0,174438;1,031904;0,261279;0,008094;0,174248;1,031874;0,261260;0,005398;0,174114;1,031838;0,261239;0,002253;0,174060;1,031813;0,261237;0,000007;0,174022;3,298610;-0,468941;20,000000;1,000000;1,032183;16,658882;0,877485
2016.06.01 12.30.00;18,000000;0,000000;1,000000;1,030871;16,312173;3,842646;1,000000;0,897192;0,362128;0,897203;1,030871;0,603305;0,362017;0,307148;1,030676;0,603157;0,368490;0,471355;1,030623;0,603108;0,370275;0,471973;1,030582;3,518208;0,373880;0,472436;1,030830;3,236693;0,408930;1,957777;0,217563;1,030786;0,324576;0,030066;1,030743;0,324550;0,026929;0,217352;1,030678;0,324518;0,022224;0,217161;1,030613;0,324485;0,017520;0,216916;1,030547;0,324453;0,012816;0,216716;1,030481;0,324420;0,008113;0,216562;1,030444;0,324396;0,005426;0,216453;1,030400;0,324371;0,002291;0,216408;1,030368;0,324438;0,000052;0,216375;3,236704;-0,408930;20,000000;1,000000;1,030871;16,312173;3,842646
